Clmp,Matn2,Cpe,Gcg,Gdnf,Yes1,Il17a,Foxo1,Tnfrsf11b,Tgfb1,Pla2g4a,Il6,Prdx5,Tgfa,Ccl5,Epo,Axin1,Fst,Rgma,Nadk,Tnni3,Notch3,Snap29,Cntn1,Clstn2,S100a4,Ca13,Mia,Cant1,Kitlg,Gfra1,Ppp1r2,Adam23,Itgb6,Cyr61,Dlk1,Ahr,Ccl2,Eno2,Plin1,Wfikkn2,Flrt2,Qdpr,Fas,Erbb4,Riox2,Plxna4,Epcam,Ccl3,Crim1,Vsig2,Hgf,Sez6l2,Il1a,Il23r,Dll1,Ddah1,Il10,Tnfrsf12a,Acvrl1,Lgmn,Csf2,Cxcl9,Map2k6,Itgb1bp2,Il17f,Il1b,Casp3,Apbb1ip,Wisp1,Cdh6,Pdgfb,Igsf3,Tgfbr3,Cxcl1,Pak4,Cntn4,Ghrl,Lpl,Fstl3,Dctn2,Il5,Eda2r,Ntf3,Tnfsf12,Ccl20,Fli1,Tpp1,Tnr,Vegfd,Parp1,Tnf
5.83083,5.21511,6.82949,3.17348,1.0661,2.25206,2.69626,3.51958,6.30347,2.62677,6.20495,1.33056,2.47369,5.47913,0.48586,3.1807,5.01532,8.33567,2.91596,8.66971,7.75079,4.60329,8.05062,6.17673,3.63119,5.54817,3.51246,3.89857,0.59586,0.31008,3.65929,4.78157,1.36402,1.97392,7.57754,3.39801,2.59075,10.36687,6.71072,8.12462,5.33647,3.69869,5.69796,4.27846,4.94288,4.82179,1.75041,2.84752,3.21716,1.94264,3.20451,4.94281,4.96013,8.25718,5.862,3.10946,1.6981,1.74876,2.9464,4.7793,6.10817,1.16431,6.03824,8.06219,3.02937,1.44232,1.87798,8.62903,3.32742,3.87563,3.30242,5.05701,3.99776,4.02025,9.83444,1.8107,6.00943,5.73708,2.61089,5.29732,2.0341,0.89219,6.58239,2.31381,4.84952,7.97947,3.07512,7.2155,6.10857,3.61068,6.37904,NA
6.22734,5.30182,6.68736,3.0078,1.10958,1.8613,2.69065,3.01634,6.50937,2.48758,6.8675,1.46532,2.10879,6.13962,0.71819,4.17179,4.96294,8.40799,2.95029,7.36838,4.60737,4.77507,7.53193,6.03014,3.66012,5.66701,3.33314,3.7616,0.77356,0.47035,3.78497,4.22971,1.48988,2.80105,7.02087,3.19108,2.35211,10.20542,5.84021,5.89398,5.53993,3.84369,5.52902,4.30554,4.69058,4.31859,1.64285,2.98826,6.01361,2.24637,3.30665,5.05718,4.80306,6.09623,6.02376,3.47956,1.07294,1.64638,3.13067,6.56692,6.11607,1.23009,6.26956,7.51489,1.7464,1.18866,1.9832,8.87265,3.75929,4.26943,3.66023,5.03681,4.38176,4.15429,9.63436,1.12513,6.34359,5.41882,2.18273,5.67265,1.51894,1.50586,6.79029,2.60535,4.76702,8.88816,2.22784,7.17013,4.66881,3.88079,5.07605,NA
5.60247,5.24677,6.95964,3.03295,0.87875,1.8693,5.96245,3.14664,6.29865,2.88298,6.45931,1.39535,1.89166,5.68179,0.80234,3.53228,5.03461,8.30663,2.77423,8.4288,6.6244,4.56671,7.97309,5.79116,3.05501,5.31427,3.69076,3.84506,0.81679,0.56034,4.62382,4.6185,1.23914,1.98066,7.60965,3.0474,2.17831,9.82366,5.69125,7.22747,5.3816,3.45518,5.49106,4.18888,4.63845,4.90234,3.28311,3.14584,3.43864,2.32298,3.02895,4.85188,4.73265,6.54988,5.57037,3.06512,0.94314,1.16815,3.42171,4.81257,5.96453,1.29393,6.01625,7.94347,2.54667,0.83319,2.07443,8.91406,3.74826,4.17231,3.09019,7.19154,4.2263,3.89866,9.74324,1.39058,5.85822,5.51894,2.34922,5.33657,1.46588,1.4048,6.55936,2.52319,4.69358,7.45365,4.08782,7.29567,4.28699,3.4722,5.23499,NA
6.0674,5.46501,5.82499,3.46836,1.00786,1.94003,2.88633,2.44773,7.65772,2.1894,6.24614,1.02779,2.42047,6.05097,0.54411,4.13638,4.56351,8.35555,2.83644,6.43752,2.99959,4.91255,6.30494,6.16982,4.40287,6.06439,3.07679,3.59467,0.7554,0.49426,3.96253,4.23396,1.09741,4.65572,6.3596,3.69734,2.11925,10.15614,5.56092,5.45288,5.63501,3.61858,5.44257,4.4848,5.0898,3.70723,2.56256,3.11808,3.13679,2.46845,3.63247,5.17986,4.91458,6.19168,5.77375,3.65665,1.57108,1.5396,3.37893,4.67616,6.13063,2.33748,6.45789,7.86755,2.39428,1.85179,2.12851,8.90653,3.63169,4.63454,3.98275,6.55949,4.36291,4.27162,9.23454,0.90934,6.55526,5.45399,1.88967,5.85494,1.86846,0.54376,6.63412,2.56101,5.15676,8.0008,1.93449,7.5826,4.42995,4.10857,4.55137,NA
5.23718,4.94828,7.24933,3.0315,0.95646,1.57584,3.03334,2.61305,6.55736,2.78499,6.0081,1.46639,2.33131,6.06432,0.51091,5.37706,5.13115,9.23558,2.77896,7.06124,4.14157,4.61688,7.76188,5.3449,3.22423,4.84907,3.70695,3.82818,0.7708,1.39812,5.3394,4.01986,0.88098,3.70625,6.96853,6.26957,2.1664,9.74064,5.81768,5.64682,5.4065,2.95472,5.45747,4.5108,4.15406,4.31775,2.3595,2.98006,3.40518,2.84397,2.9791,4.85833,5.09994,5.67563,5.41964,3.21707,0.94854,1.50975,3.92583,4.64157,5.88566,1.57117,7.05328,7.22648,1.19175,1.3402,1.80057,9.2446,4.10325,4.12332,2.76422,7.33872,3.91103,3.86765,10.21387,1.36051,5.31399,5.55851,2.13802,5.37544,1.91677,0.65834,7.24823,3.24119,5.30579,8.90486,2.30648,7.82658,4.90707,3.29264,5.3468,NA
6.1112,5.33314,7.28457,3.69864,1.14223,3.13812,3.32777,3.59422,6.74231,3.0099,6.29836,2.05469,3.29568,6.50618,0.99215,3.60149,5.40754,9.61859,2.80762,8.01709,3.96428,4.79681,7.79745,6.18063,3.75479,5.72304,3.82188,4.69909,1.09592,0.78912,4.65391,5.03044,1.18546,3.93293,7.31509,3.18727,3.34066,10.48877,7.02002,6.57746,5.81104,3.5753,5.95711,4.3207,5.09723,5.63671,2.18087,3.38333,4.00232,3.39765,5.12168,5.44249,5.03369,8.25484,5.76804,3.44182,2.77693,1.19812,3.63258,5.04983,6.06123,1.44344,5.47233,8.1517,2.74067,1.88151,1.89284,8.98893,3.74076,4.4339,3.4487,8.07441,4.24569,3.97452,10.69628,2.30849,5.67092,5.48658,2.81863,5.69941,2.20267,1.15627,7.09523,2.96325,5.34055,9.07054,3.26596,7.77714,6.84732,3.70176,6.31787,0.01023
6.40013,4.83372,5.3876,0.1502,1.6172,2.31307,2.24497,1.99681,6.7707,2.20634,6.32059,0.99162,2.97858,6.45169,0.89649,3.45112,3.30746,9.14151,2.6735,3.63954,0.09931,4.61405,4.79018,5.35422,3.67686,5.95132,3.85852,3.21486,0.49594,0.41404,5.22505,2.92967,0.80162,6.86741,6.16781,3.40025,2.8776,10.26684,5.96089,5.00851,5.36181,3.63999,5.3108,4.26845,5.10228,5.32429,3.0486,2.80465,3.47728,3.25253,5.10339,5.63753,4.38315,6.88356,5.55119,3.60576,3.56136,1.26495,3.43042,5.07813,6.40045,1.35962,5.87836,7.8042299999999996,2.12979,1.14728,1.88362,8.48962,3.5781,4.43892,3.87937,8.4841,4.13447,3.08128,9.91251,NA,5.6922,4.24016,1.8695,5.77975,1.67707,1.42364,6.98847,2.41042,6.99015,8.93678,1.94803,7.77853,5.00147,3.71908,5.845,NA
5.8568,5.17715,5.70371,1.40529,0.86489,2.29272,3.36946,2.51344,6.83488,2.27377,5.82863,1.68552,2.74643,5.87121,0.74435,3.74989,4.67883,9.04476,2.44617,6.46564,2.07759,4.63806,6.20474,5.74909,3.63048,5.78327,3.7083,3.4674,0.76472,0.46866,4.57296,3.82506,0.90028,5.27652,7.21479,2.88095,2.75936,10.34564,6.82249,6.91943,5.28352,3.52964,5.6781,4.47715,5.26134,5.04221,1.93133,3.48163,3.39069,2.53236,5.02641,5.4047,4.74732,7.12851,5.8797,3.3322600000000002,3.33873,1.54204,3.39919,4.87631,6.01297,1.71623,6.40917,7.70238,2.03878,1.37667,2.05056,8.88918,4.08424,4.30536,3.4314,6.86388,4.17525,3.42428,10.7001,1.84633,5.67986,4.80145,2.17581,5.58464,1.8307,1.14089,6.74935,2.68359,5.77478,8.76454,2.0956,7.68236,6.07466,3.63171,6.15267,NA
6.30393,4.92336,5.10807,1.24611,1.13692,1.77087,3.21697,1.90082,6.4642,2.06266,6.05558,1.19288,3.00849,5.61913,0.74413,4.05624,4.43272,9.23306,2.76308,6.05348,3.0908,5.17538,5.76071,5.56914,3.44053,5.89276,3.81299,3.33411,0.54131,1.14735,3.54566,3.41128,0.8078,8.2506,6.19593,3.29177,2.97649,10.05029,6.37862,6.73325,5.39922,3.55307,5.45669,3.92759,4.75586,5.15454,2.16618,3.43911,3.54878,1.91263,4.19245,4.78752,4.85165,6.81861,6.39792,3.41501,2.40064,1.24049,3.34441,4.97003,6.02793,0.7706,6.73423,7.66812,1.79375,2.00922,2.05775,9.40661,4.68506,4.46803,3.50038,6.84598,4.31113,3.63229,9.07508,NA,5.94954,4.67591,2.89507,5.97743,1.60796,1.21844,6.46502,2.51029,6.88915,8.70452,2.00781,7.74976,5.78396,4.26107,6.23032,0.02236
6.32023,4.9685,5.40296,0.57505,0.86266,2.24942,5.55634,2.40039,6.73842,2.27874,6.72597,1.46026,2.8183,5.55971,0.79146,3.28964,4.40514,9.09684,2.80788,5.94991,0.82757,4.94283,5.37977,6.09202,3.81945,5.40133,3.32948,3.30034,0.50739,0.39844,4.80671,4.24114,0.90527,7.16984,6.57373,3.73762,2.8671,10.32916,7.02686,5.35191,5.45283,3.60865,5.63138,4.04819,5.2425,5.49877,3.12516,2.97067,3.45994,3.35364,3.66267,5.57357,4.76008,6.27775,6.26798,3.51878,3.17349,1.46553,2.6453,4.91354,5.93446,1.23201,5.87623,8.01063,1.9911,3.16763,2.39504,8.86839,3.78519,4.33076,3.51439,8.3814,4.24441,3.83317,9.77174,0.966,6.12002,4.33888,2.8332,5.66024,1.73344,1.2593,6.24553,2.43909,7.13727,8.80759,1.86416,7.68197,6.82168,3.97326,5.53836,NA
